Dice Sum,Dices Thrown,Value
0,0,0.442
1,1,-0.458
2,1,-3.109
3,1,-3.875
4,1,-3.078
5,1,-1.717
6,1,0.011
2,2,0.867
3,2,-2.907
4,2,-5.513
5,2,-6.351
6,2,-6.056
7,2,-5.253
8,2,-4.614
9,2,-3.639
10,2,-2.615
11,2,-1.033
12,2,0.844
3,3,3.52
4,3,-1.03
5,3,-4.929
6,3,-7.733
7,3,-9.044
8,3,-8.802
9,3,-7.934
10,3,-7.029
11,3,-6.029
12,3,-5.612
13,3,-4.731
14,3,-4.138
15,3,-3.055
16,3,-1.809
17,3,-0.061
18,3,2.161
4,4,8.172
5,4,2.923
6,4,-1.917
7,4,-6.263
8,4,-9.104
9,4,-11.106
10,4,-11.361
11,4,-11.028
12,4,-10.028
13,4,-9.028
14,4,-8.028
15,4,-7.028
16,4,-6.028
17,4,-5.028
18,4,-5.028
19,4,-4.018
20,4,-3.561
21,4,-1.878
22,4,-0.681
23,4,1.725
24,4,4.317
5,5,16.15
6,5,11.601
7,5,4.91
8,5,-0.846
9,5,-5.666
10,5,-9.551
11,5,-12.5
12,5,-14.5
13,5,-13.5
14,5,-12.5
15,5,-11.5
16,5,-10.5
17,5,-9.5
18,5,-8.5
19,5,-7.5
20,5,-6.5
21,5,-5.5
22,5,-4.5
23,5,-3.5
24,5,-5.0
25,5,-3.689
26,5,-2.076
27,5,-0.16
28,5,2.059
29,5,4.579
30,5,9.855
6,6,27.292
7,6,23.143
8,6,18.537
9,6,13.923
10,6,9.309
11,6,4.694
12,6,0.0
13,6,-17.0
14,6,-16.0
15,6,-15.0
16,6,-14.0
17,6,-13.0
18,6,-12.0
19,6,-11.0
20,6,-10.0
21,6,-9.0
22,6,-8.0
23,6,-7.0
24,6,-6.0
25,6,-5.0
26,6,-4.0
27,6,-3.0
28,6,-2.0
29,6,-1.0
30,6,-15.0
31,6,2.865
32,6,5.68
33,6,8.496
34,6,11.312
35,6,14.123
36,6,16.655
